"EventDetailID","EventID","ViolationID","Resolved?","DateResolved","DetailAttach","IncludeCitation"
3347,2130,167,1,10/31/2016 0:00:00,,0
3348,2131,179,0,,,0
3349,2131,191,0,,,0
3350,2131,348,0,,,0
3351,2132,179,0,,,0
3352,2132,191,0,,,0
3353,2132,348,0,,,0
3354,2133,179,0,,,0
3355,2133,191,0,,,0
3356,2133,348,0,,,0
3357,2134,348,0,,,0
3358,2135,179,0,,,0
3359,2135,181,0,,,0
3360,2135,183,0,,,0
3361,2135,187,0,,,0
3362,2136,344,0,,,0
3363,2136,345,0,,,0
3364,2136,318,0,,,0
3365,2136,300,0,,,0
3366,2137,179,0,,,0
3367,2137,186,0,,,0
3368,2137,223,0,,,0
